Titolo,id_ristorante,Data,Target,Recensioni,Punteggio,Foto1,Foto2,user_id
"A great place, wonderful food, staff & atmosphere",g1006504-d2509017, 26 aprile 2024,family,"Decided to go out for dinner as they were offering a very good discount.
Despite there being a football match showing on the TVs it was not that noisy, 
No wait for food.  Husband had Hunters Chicken (without BBQ sauce) I chose
a bacon blue burger with an additional SF chicken.  No tomato.
everything was as ordered, no problems with requested alterations.","Punteggio 5,0 su 5",,,1563
A Hidden treasure,g1006175-d2354647, 17 febbraio 2024,friends,"We visited with friends for Sunday lunch, the meat was so tender, lots of vegetables and Yorkshire pudding just like your granny made!! Service was quick and efficient, staff were very friendly, it’s a small cafe which also does takeouts, we’ve had a delicious takeout bacon sandwich, and on the plus side there are no noisy dogs","Punteggio 5,0 su 5",,,2457
A life-saver,g1005967-d2459574, 14 maggio 2024,friends,"When you need something to eat and a pint…
And it’s getting close to last orders for food…
And there’s ANOTHER hill to cycle up on the  the South Downs Way… 
And there’s still five miles to go…
it is so very welcome to find a pub as accommodating as The White Horse at Ditchling. Food was ordered after the menu was read out over the phone, kept warm for our eventual arrival, and it was delicious. So was the hand-pulled pint. Super pub and super friendly. Highly recommended.","Punteggio 5,0 su 5",,,1983
A little disappointing,g1006504-d2320409, 28 marzo 2023,couples,"When we moved to the area in early 2020, one of our neighbours told us that Bentleys was his favourite places for a Sunday carvery.  Then came Covid and lockdowns, so that we have only now been able to try it out, since its reopening last month.  We were very much looking forward to it and, whilst it was OK, it was a little disappointing.

Firstly the complimentary hors d’oeuvres.  One small rectangular plate was presented to us, but whilst the quantity of what was on there was fine for two, the actual components on it were one chicken skewer, one spring roll and two small, but different, tarts, meaning that, other than the olives and feta, everything had to be cut in half to enable us each to sample everything!

The carvery itself was neither the best that I have ever had, but nor was it the worst.  I was impressed that the beef was cooked as beef should be, and not cremated, and commented as much to the chef. As this was unusual for a carvery both my wife and I went for it plus some turkey.  I have to say that the turkey was very nice, but the beef was rather chewy.  Vegetables were OK; I thought that the roast potatoes could have been a bit crispier and the Yorkshire was pretty rock solid.

For dessert, my wife chose the lemon meringue which, I think was a good choice, because I went for rhubarb crumble and custard and found the crumble topping to be almost as solid as a pie crust.

I'm afraid that it is unlikely that we will be rushing back.","Punteggio 3,0 su 5",,,1556
A lovely gem in the heart of Warkworth,g1006175-d6104159, 26 gennaio 2024,couples,"Lovely dog friendly hotel and bar nestled in the heart of beautiful Warkworth and overlooking the castle. This was our second visit.  We stayed in room 8 which was a triple room suitable for two adults and two dogs and had a view of both the castle and the estuary down to Amble Harbour.  Some small snagging issues; the tv remote didn’t turn the tv on and off and it was difficult to reduce the shower temperature.  The hotel is very clean and tidy. Perfect base for walking to the beach and along the riverbank to the Hermitage.  The staff were exceptional, nothing was too much trouble for them including searching for a lost pair of gloves!  We had an evening meal and drinks in the stylish bar which was lovely.  Breakfast is served in the most beautiful room and using high quality ingredients.  We will be back!","Punteggio 4,0 su 5",,,1562
A must for Indian food.,g1006504-d2178057, 3 gennaio 2024,couples,"Very clean, great reception when entering. Very comfortable and some of the best Indian food we have eaten for a very long time. My wife is not a lover of Indian food a very difficult person to please, not hot or sweet so most of the food will not suit her. But the proprietor went out of his way to make a dish to her taste. We live in Spain so that this will not be a regular visit, but we were made to feel like old friends.","Punteggio 5,0 su 5",,,891
A must visit!,g1006524-d2647930, 22 febbraio 2024,family,"First visited this pub many years ago whilst living in Sheriffs Lench. The beer garden is especially enticing on hot summer days as on the edge of the River Arrow. Facilities for children are very good with a wooden outside play area (you do have to keep your eye on small children as they can easily fall in the river!). When I first visited decor was a rustic barn design. Suddenly changed to a flamboyant, colourful, interesting, unusual layout. Took a little getting used to but now really enjoy visiting and admiring their artifacts from around the world. Food very good and hospitality always warm and friendly.","Punteggio 4,0 su 5",,,2696
A once in a life-time experience.,g1006504-d3806898, 6 dicembre 2023,friends,"The only thing they couldn't get wrong was the pattern on the plates (they're plain white).
Cold plates, food all at different temperatures and overcooked, slow service, need I carry on???
You get what you pay for...
Surpassed only by the Fawlty Towers TV series.","Punteggio 2,0 su 5",,,2407
A pub reborn,g1006524-d2647930, 9 settembre 2023,couples,"I am delighted to report that The Fish has now reopened. My partner and I, popped in for a drink, but we did look at the menu. As we were pushed for time, we decided to call in again very soon.
The Fish is situated in a fabulous location, by the River Arrow. It is the perfect spot to enjoy Al Fresco dining.","Punteggio 4,0 su 5",,,1963
A real let down,g1006504-d2178057, 28 aprile 2024,couples,"The food lacked taste. Poor quality ingredients. Did not resemble curry! I have eaten in some amazing Indian restaurants and this was way below par. 
Also took over an hour to receive it.","Punteggio 1,0 su 5",,,55
a warming and yummy celeriac and pea soup on a cold wet day !!!,g1005967-d10241689, 29 novembre 2022,none,"always a warm welcome and friendly service with an interesting selection of tasty food

the celeriac and pea soup was particularly delicious on what was a very cold and wet day

I love the combo plate of soup taster, quiche and salad !!!","Punteggio 5,0 su 5",,,2227
A wonderful lunch,g1006576-d10629745, 21 gennaio 2023,family,"Visited today with family for lunch and had such a nice time. The staff were friendly and welcoming we were shown to our table promptly and offered drinks and water for the table straight away. We chose a selection of tapas to share which were all delicious I particularly enjoyed the specials of prawn twists and honey and mustard sausages, the accompanying dips were a lovely compliment to the dishes too. The flavours were incredible and my dad said he thought the food was better than what he'd had in Mallorca. The raspberry coconut slice and chocolate brownie we so yummy for dessert and the coffee was fantastic. The price of the meal was very reasonable too. Thank you all so much for a thoroughly enjoyable afternoon. Will be back very soon!","Punteggio 5,0 su 5",,,1852
A wonderful spot!,g10021931-d3222824, 26 febbraio 2024,friends,"Love this place, visit regularly. A wonderful spot for breakfast, lunch, dinner or just coffee! Never had a bad meal here and its great in rain or shine! So glad its on my doorstep x","Punteggio 5,0 su 5",,,1614
Absolutely outstanding!,g1006175-d8497246, 8 maggio 2024,couples,"Dined here twice in the week we spent locally - and what a memorable experience! A really relaxed atmosphere, fantastically friendly yet professional staff and sublime food. One of the very best!","Punteggio 5,0 su 5",,,1920
Absolutely terrible,g1006504-d4985353, 21 maggio 2024,family,"Absolutely terrible, poor atmosphere, poor food, horrible service. Not recommended for children or the elderly. I would never take my family or elderly parents back and would recommend people try very nearby alternatives.","Punteggio 1,0 su 5",,,1844
Aggressive and unaccountable staff,g1006504-d2178057, 30 luglio 2023,couples,"Had a terrible experience ordering tonight. Our order was around 45mins late and we waited nearly 1 and a half hours in total from point of order, way beyond the confirmed time. The order showed ‘on the way’ for over 40mins and then tracking disappeared and it said it was delivered but it wasn’t! I phoned the restaurant who just passed the phone to another staff member with no handover, repeated my complaint only to be told I’d be called back but wasn’t. Phoned again and they called the driver who said he was 10mins away. I expressed this was poor service and would like compensation only to be ranted at and told none of the issues were their fault it was all Just Eat and they can’t be held accountable. The man was aggressive, rude and adversarial. He should never be in a customer facing role with that temperament. He then threatened to call the driver and have him turn around, return the food and stop us getting a refund!! At this point our food arrived while he was still be aggressive on the phone and refusing to take any responsibility at all. The whole order was cold when it arrived and disgusting, not to mention missing pickles and arriving with the wrong naan bread. Terrible service that I will never experience again as I shan’t use this restaurant.","Punteggio 1,0 su 5",,,1631
All round 1st class establishment.,g1006504-d3806898, 18 aprile 2023,friends,First class food and service. Access first class. Disabled toilets very clean. Everything has been thought off and nothing is to much trouble.,"Punteggio 5,0 su 5",,,522
All round good pub,g1006504-d4985353, 25 marzo 2024,family,Food was on point so and came out on time! The bar staff were really good to! Allways someone on the bar to serve beer! Will definitely be back,"Punteggio 5,0 su 5",,,689
Always Exceptional!,g1006576-d1006804, 26 gennaio 2024,family,"Once again another lovely visit to The Woodman! The venue is lovely, staff are excellent and the food and drink is always high class, well presented and delicious. 
We will return again very soon and would encourage anyone reading this to add it to your list of places to visit!","Punteggio 5,0 su 5",,,1482
Always fantastic food and lovely staff,g1006504-d2178057, 23 settembre 2023,couples,"My husband and I have eaten inside the restaurant a few times and had a couple of take aways. The food is always great, I’d say it’s one of the nicest in the Bournemouth and surrounding areas (and I’ve tried a few!). The staff are friendly and welcoming. 

It’s always a great treat and nice meal here.","Punteggio 5,0 su 5",,,1861
Always good!,g10021931-d3222824, 29 ottobre 2023,couples,"Popped in for a quick lunch yesterday (you might've had to swim there today!).  The  tomato and red pepper soup was beautifully flavoured, and the warm granary bread was lovely.  My friend thoroughly enjoyed the lamb curry.  Really great value for money.","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2a/b4/0b/9a/caption.jpg,https://media-cdn.tripadvisor.com/media/photo-l/2a/b4/0b/9b/caption.jpg,2553
Amazing,g1006504-d3626394, 22 maggio 2024,friends,"Went to Haskins ferndown For lunch with my friend And it was very busy But there was a lovely lady Who was in the middle till She was polite and welcoming. She was checking on people. Why they were queueing to get hot drinks. People that didn’t have hot drinks Went to the Middle till by this lady. 
I got a lemon cake and It didn’t taste right So I went to the lady in the middle till and spoke to her and again nothing was hard for her Without no hesitation She asked me if I would like A different cake she came with me to the cake counter and sorted me out And then she gave me a refund for the price difference. 
She was warm and friendly, and nothing was too hard for her and she kept apologising If she couldn’t take the customer to the middle till. 
In the end  I asked one of the colleagues what was her name and they said Emma and they turn around and said she lovley. 
So I just want to say Thank you for a wonderful experience for the lovely service 😄😁","Punteggio 5,0 su 5",,,1356
Amazing burger!,g1006175-d8497246, 17 aprile 2024,couples,"Found this place to stop at during a long drive and looked like a nice place to stop. 

Was very busy when we arrived on the bank holiday Monday and they put us on the list for a table (all seemed very organised even though the staff were clearly very busy) 

I had the burger which was amazing!
Definitely homemade. Thick, juicy and crumbly soft. Good amount of lovely strong smoked cheese. And a really really soft fresh bun.

My wife had the cream cheese and bacon bagel which was also very good. 

We also enjoyed a very good latte and hot chocolate.

Took a piece of the lemon cake away for later and that was also excellent.

Would highly recommend the food here and we will definitely be back next time we're passing through.","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2b/e4/08/1c/caption.jpg,,2598
Amazing find!,g1006175-d8497246, 19 maggio 2024,couples,Wonderful little bistro in Warkworth. Service was excellent and the food was absolutley delicious and excellent portions. This is higher end price wise but well worth it. Also dog friendly!,"Punteggio 5,0 su 5",,,1137
Amazing meal with brilliant service.,g1006504-d2178057, 21 settembre 2023,family,"This was the birthday choice for a family of 5 (all adults). Food was absolutely fantastic!! Service was brilliant - the team were super attentive and we didn't feel at all rushed, but were definitely not ignored. Thank you Cinnamon. We will definitely be returning.","Punteggio 5,0 su 5",,,1225
Amazing pub,g1006504-d2509017, 2 maggio 2024,family,"We come to this pub at-least once a week and the service is always amazing. The food is well priced and always comes out very quickly, always have the Katsu curry and I’m always very impressed.","Punteggio 5,0 su 5",,,1033
An excellent evening meal and all round experience,g1006524-d2647930, 5 ottobre 2023,family,"So glad that The Fish has reopened for food as well as drinks. We went on a weekday evening after work and the pub was busy enough to be pleasant but not too busy. The decor aswell I really like, exposed brick work, wooden tables and the outside area is also lovely. 

The menu, whilst a little bit on the small side does manage to cater for all types of eaters (kids, veggies etc). My partner had the fish and chips which was cooked and served to perfection, my daughter and I shared the steak burger. The meat burger itself was divine as was the wonderful gherkin infused mayonnaise they served on with it. The bun itself was very big, almost engulfing the burger, but when the bread was as fresh and as tasty as that was we didn't mind at all. 

With a round of drinks we felt the bill was more than reasonable. To top it all off, the staff were very helpful and very friendly. Happy to take your order, talk over the menu with you and seem genuinely interested in making sure your time at The Fish is a great one. 

Thanks all and well done for a great experience. We will be back!","Punteggio 5,0 su 5",,,560
Anniversary lunch,g1006504-d2320409, 5 novembre 2019,none,"Booked for Sunday lunch and on arrival the car park was pretty full but there were spaces over the far side away from the entrance.

The staff were friendly and welcoming.

The menu offers a set three course Sunday lunch, we chose melon and a salmon & prawn starter.

For main course we went to the carvery which offers a super choice of meats including beef, pork, turkey or lamb. The staff on the carvery are very generous with the meat.  We also had a choice of Yorkshire puddings, roast potatoes, cauliflower cheese, carrots, parsnips and all the condiments plus gravy.

For pudding we chose chocolate brownie and creme brûlée 

Good food and friendly service.","Punteggio 5,0 su 5",,,2301
Another good lunch,g1005967-d3783536, 25 maggio 2024,couples,"Good food and excellent service!
Came for a Saturday lunch - The Bull was as welcoming as always, good menu choices and friendly staff.
Philo was as charming as ever, thank you :)","Punteggio 5,0 su 5",,,1938
Appalling,g1005967-d2459574, 13 gennaio 2024,friends,Terrible service. Didn’t get acknowledged for at least 10 minutes so just went to find ourselves a seat. No one brought us menus. Ordered at the bar. Rude service. The chavvy waitress couldn’t care less. Wine ok. Food disgusting. Mushroom “special” was gross. Never returning!!,"Punteggio 1,0 su 5",,,6
Average breakfast let down by some rude serving staff,g1006504-d3806898, 7 aprile 2023,friends,"We had a Saturday cook breakfast with friends at the bridge house recently, and were somewhat disappointed with both the selection of breakfast foods and in particular their quality. The visit was marred by one particularly surly or rude member of staff with few people skills. The place was recommended by other friends, but we certainly won’t be going there again.","Punteggio 3,0 su 5",,,1074
Avoid at all costs,g1005967-d2459574, 20 settembre 2023,business,"Room was very small which wasn’t a major problem. But cleanliness was poor. Cobwebs and Mold.
TV is poorly positioned on the wall as when you lie in bed the LCD screen cannot be seen properly , also ridiculously small for a hotel room. 
Worst night sleep ever with the church bells electronically chiming every 15mins. Hotel window is sash and not double glazed so sounded like windows were open, as blind also moved with the wind.
Sort it out owners.
You can’t charge rates like this for this standard. 
And you seriously need to alert he church out. 
How does anyone sleep !!??","Punteggio 1,0 su 5",,,1360
Awesome,g1005967-d10241689, 2 maggio 2023,none,"Really good.... staff friendly snd accommodating, very comfortable, lovely atmosphere. All the food very nice bit highlights were pork and marmalade sausage roll and courgette and lemon cake :)","Punteggio 5,0 su 5",,,2280
Awful,g1006175-d2354647, 30 marzo 2024,couples,"Forgot our takeaway order,
Sent outside to wait,
Had to remind them we’d ordered coffees
Coffees arrived, basically long life milky water from a machine.
When we returned our drinks and complained they confessed to overpriced machine coffee.","Punteggio 1,0 su 5",,,1088
Awful,g1006504-d6620815, 23 ottobre 2022,family,"Advertises gluten free menu, but nothing available. 
No jacket potatoes.
Fish and chips - the fish was literally all batter and about the amount of fish you'd get in an average fish finger. It was hard and bony.
We used to like this wetherspoons for a cheap lunch, but I'd rather spend a bit more and eat cooked food rather than reheated junk.","Punteggio 1,0 su 5",,,2455
Awful experience,g1006576-d10629745, 20 novembre 2022,none,"The restaurant had been recommended by a local friend; inspire of being given a reminder to turn up - which I accepted - 5 of us arrived by taxi from a hotel 20 minutes away to find the place totally shut.
Appalling service and even our local friend as so shocked that she will never return and she and her husband were regulars.","Punteggio 1,0 su 5",,,1369
Bad customer service in restaurant,g1006504-d3626394, 1 aprile 2024,couples,"A nice big garden centre with a lot of stuff to browse inside and out however the restaurant is very overpriced and bad customer service. Firstly i ordered a decaf tea and by chance dug out the label that had been put inside the teapot to check and it was normal tea and no apology when I took it back to be replaced with decaf. I have a medical condition that means I can’t take caffeine and so was not too happy about that but no one seemed bothered! Secondly, we only had a cup of tea towards closing time and were made to feel very uncomfortable by the woman who seemed to be in charge making loud comments to other staff around us about how many tables left and that she can’t wait to get home and have her dinner! She did this a few times making us rush our drinks! We bought them at 4:35, the restaurant closed at 5:00 so we weren’t taking the p! However they served a woman a drink at 4:50 and she must have felt pressured to hurry up too. If they need to finish dead on 5pm then they need to stop serving at around 4:15. But then they’d lose money wouldn’t they!!! Bad behaviour for someone supervising others, who should be a role model in delivering good customer service and explains attitude of other staff!","Punteggio 3,0 su 5",,,941
Balmy Lunch,g1006504-d3806898, 10 ottobre 2023,friends,"We all enjoyed our lunch immensely, it was excellent - not much more to add!! Lovely location as well","Punteggio 5,0 su 5",,,1597
Be prepared to pay more than usual,g1006504-d3626394, 2 marzo 2024,couples,"Hadn’t been for a while and completely understand prices have risen but so very expensive. We shared a toasted sandwich which came with a few chips and a token salad £10.95 plus a cappuccino and a flat white came to £19 less a few pennies !! I know shouldn’t have stayed but was a treat out.
The jumbo sausage roll was £11.95 !!!!!","Punteggio 3,0 su 5",,,944
Beautiful riverside location,g1006524-d2647930, 28 settembre 2023,friends,"A lovely spot by the river, lovely pub garden with shallow river access for paddling and swimming- even people paddle boarding there. Play area for the kids. The pub has recently been refurbished and is very clean and pleasant inside and out. Staff are friendly and welcoming  .  Food was tasty, trout niçoise and baked feta were lovely but the prawns starter was a special highlight.","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2a/73/38/be/caption.jpg,,336
Best around,g1006504-d2178057, 20 settembre 2023,family,"The best Indian restaurant in the area by far.

The food is always fantastic, the service brilliant and the staff friendly. 

Tried others in the area but they just don't compare.","Punteggio 5,0 su 5",,,835
Best Bacon Rolls!,g1006175-d2354647, 6 gennaio 2024,family,"Our Mum lives in Warkworth & suffered a major flood recently meaning she had to move out. We were there today trying to clean & put the furniture all back in place, no milk in the fridge or food of any sort so We poppered down to Topsy Turvy to get coffees, scones & hot bacon rolls. Totally fabulous! Soft beautiful rolls, 2 enormous slices of excellently cooked back bacon, perfection. The fruit scones were warm light & buttered, really tasty. We look forward to ordering from you again. Thank you!","Punteggio 5,0 su 5",,,1149
Best pub I've been to for a long while,g1005967-d2459574, 2 gennaio 2023,couples,"After spending a day at Plumpton Races we called into the white Horse for a drink. Whilst we did not eat, the range of draught ales was brilliant as was the welcome from a landlord from the old school. 
I really didnt think these pubs existed any more. The locals were really welcoming and so friendly. Please lord let's have more of these pubs where we can enjoy good beer, good conversation and a lovely warm log fire. What more do people want from life.","Punteggio 5,0 su 5",,,2604
Best raspberry pavlova every,g1006175-d2354647, 6 novembre 2023,couples,"We don't go in  the coffee  shop as we have a very noisy German shepard ,  but we often look in the window at all the delicious cakes and pies  and carnt resist to call in and get a take away the last one was raspberry pavlova it was the best iv ever had as is everything you ladies do  delicious 😋 . THANKS YOU.","Punteggio 5,0 su 5",,,1968
Birthday,g1006504-d3201313, 14 marzo 2024,couples,I was there spending my birthday with my boyfriend and it was absolutely amazing!!! Sara B served us and it cannot be more  attentive to detail. Thanks so much Sara and horns inn for a perfect evening 😊,"Punteggio 5,0 su 5",,,936
Birthday afternoon tea.,g1005967-d13447953, 21 gennaio 2024,family,"Afternoon tea, which was a delight from the reservation process, through to paying at the end of the meal, and leaving the property.  The staff, food and atmosphere were all superb.  Mum was delighted with her birthday surprise.  Catered for all 8 of us very well, good selection of sandwiches and cakes.  Would definitely recommend booking in advance, even in the depths of January, when they were very busy. Parking is probably best in the village hall car park across the road, and I'm not sure about step free access, but it was just great. Loved it, thank you Andrea and your team.","Punteggio 5,0 su 5",,,23
Bloody lovely food,g1006175-d6104159, 17 settembre 2023,couples,"Never been here in all the 12 years I’ve been living in the area. Didn’t know what I was missing!! Good service, reasonable prices and the Sunday dinner platter for two was divine. 
Oldey worldey pub 
Loved it 
Dog friendly","Punteggio 5,0 su 5",,,1461
Booked again for next week!,g1006175-d2354647, 18 febbraio 2024,friends,"Just had a fantastic roast beef dinner followed by sticky toffee pudding and filter coffee!

The beef was cooked to perfection and just fell apart and melted in the mouth - Margaret knows how to prepare a joint and I’m never disappointed. 

Veg selection was varied with peas, carrots, broccoli, roast potatoes and parsnip, with dauphinoise potatoes as a side dish - Delicious!

Some folks have left negative reviews on here without having taken any issue up with Margaret the owner. How can any business address an issue if you don’t tell them at the time. Maybe it’s just a lack of backbone or there wasn’t much of an issue in the first place. 

These small businesses need our support following Covid, please think carefully before putting the boot in. 

I’ve booked again for next week!","Punteggio 5,0 su 5",,,2315
Booking accepted but restaurant closed,g1006576-d10629745, 29 agosto 2022,none,"We booked 6 weeks ago for 5 of us; like Malcolm219, I received a request to confirm my booking which I did. We had taken a taxi and the restaurant had been recommended. It was clearly VERY shut when we got there with a note on the door saying closed for two months. 
The owners should be ashamed - such sloppy, dreadful service. We will never eat here again.","Punteggio 1,0 su 5",,,1741
Booking accepted but restaurant closed!,g1006576-d10629745, 31 luglio 2022,none,"We booked online last week to go to The Cock Inn yesterday (Saturday 30th July). We had a confirmation email on Friday to which we responded, confirming that we would be coming, and received a 'Thank You' email in return. When we got to the pub it was closed with a note on the window saying it was closed due to illness, and has been so for a while.

So we stood around in the car park feeling hungry and wondering what to do!

I see from other reviews that we are not alone. You can't help being ill, but surely you can ensure that the issue is set out on the pub's website and also ensure that customers aren't contacted to confirm their bookings. It's a shame because the food is excellent here, but the owners are going to loose a lot of goodwill over this.","Punteggio 1,0 su 5",,,1203
Breakfast for 16. Fabulous,g1006504-d5816534, 26 marzo 2024,business,"Booked here for 16 of us to have breakfast together 
All meals arrived beautifully well presented and staff were very helpful. 16 empty plates
Thank you and top review deserved","Punteggio 5,0 su 5",,,2345
Breakfast..,g1006504-d3806898, 16 aprile 2023,business,"Only had a light snack here, and breakfast in the morning whilst staying at the hotel. Pleasant surroundings, particularly the outdoor seating area is wonderful, sadly too cold in April to sit outside. Food was very good and bar area was good too.","Punteggio 4,0 su 5",,,574
Brilliant food,g1006504-d2509017, 20 maggio 2024,family,Food was absolutely amazing. Friendly staff and very clean. Definitely recommended if you want good food and good price,"Punteggio 5,0 su 5",,,2037
Brilliant food and excellent service,g1006175-d8497246, 31 marzo 2024,couples,"Highly enjoyable evening.  We loved the new interior although the ladies toilets remained unfinished.  The actual  food was without fault  and the only negative was of a practical nature in that my delicious Prawn starter was almost impossible to eat due it being served in a small bowl with all the  prawns still partially encased in shell.  All other starters were generous portions and the deserts were spectacular.  Service was highly organised, very professional and also very friendly.  We look forward to our next visit.","Punteggio 5,0 su 5",,,2306
Brilliant meal,g1005967-d13447953, 24 febbraio 2024,couples,"Fantastic place. Amazing food. Staff so friendly always clean place and well priced. 
Free car park nearby. Regular visitor. Always come back.","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2b/7e/32/e8/caption.jpg,,883
Brunch,g1006504-d2320409, 22 giugno 2019,friends,Excellent friendly service lovely outlook no pressure to how long we sat over brunch had a very enjoyable meal with a friend,"Punteggio 5,0 su 5",,,2260
Cancelled booking,g1006576-d10629745, 17 giugno 2022,family,"I had a booking for this Sunday, and received an email Friday morning thanking me for my cancellation. I hadn’t ever cancelled my booking and had booked months ago for Father’s Day. Not sure why they’ve cancelled but tried calling and emailing a number of times but no one replied or answered. No info on any of their socials or website as to why they are now closed, google has been updated to temporarily closed. Slightly disappointed to have been given no explanation as we have eaten here before and it was lovely. A disappointing turn of events, wouldn’t recommend and won’t be returning if it opens again.","Punteggio 2,0 su 5",,,1040
Caos Assoluto non merita.,g1006504-d1372741,,couples,"Ho recentemente soggiornato al Premier Inn con il mio partner dove i Smugglers Haunt Beefeater era l'opzione per la prima colazione in hotel e dove siamo andati per il pasto serale per la sera del nostro arrivo che è di fronte l'hotel.
Anche se il cibo era commestibile la prima sera il servizio era terribile, ci siamo stati per oltre 2 ore per un piatto principale e dessert, e cercando di pagare è stato altrettanto difficile. La cameriera era appena mai c'e quando mi ha fatto venire lei ha preso i nostri bicchieri vuoti ma non avevamo chiesto se volevamo un altro drink anche se fossero stati vuoto per 30 minuti.
Mettere giù per una notte abbiamo lasciato e siamo tornati in albergo.
La mattina siamo andati per la prima colazione presso il nostro tempo premettendo che ci era stato detto di prenotare come potrebbe essere affollato. Beh, non era affollata e c'era a malapena 5 o 6 tavoli che rende il fatto che ancora una volta il servizio era scadente e la mancanza di cibo e bevande a disposizione era disgustoso.
Non caffè, non c'è acqua calda
per il tè
non succhi di frutta
non bocce
senza occhiali
Non black pudding
Non macedonia di frutta
e a pochi inaridita fette di pane lasciato per tostato se si poteva tostare il piss poveri tostapane.
Solo per nome, ma alcune cose, e se avete fatto qualcosa o commento che qualcosa era vuoto o di corsa fuori c'era a come si aveva due teste.
Mi è stato addebitato £ 8 . 99 a persona, al giorno per questa cosiddetta quindi la colazione. Per favore non perdete tempo ad andare vi rovinereste la vostra giornata.
Sono scioccato che il Premier Inn associarsi ad un caos.","Punteggio 1,0 su 5",,,2317
Carvery is back.,g1006504-d2320409, 20 marzo 2023,family,Went for the carvery on Mothers Day. Friendly staff and the old chef is back and the food and portions were excellent. Highly recommended,"Punteggio 5,0 su 5",,,717
