Titolo,id_ristorante,Data,Target,Recensioni,Punteggio,Foto1,Foto2
A cena da amici.,g1015351-d2320648,28 maggio 2023,friends,Ottima cordialità e ottima qualità prezzo. Abbiamo mangiato la pizza il dolce e bevuto un paio di birre . Anche i bambini sono stati a loro agio,"Punteggio 5,0 su 5","",""
A due passi dal centro,g1015453-d12453063,17 settembre 2023,friends,"Questo giro solo arrosticini (piccoli), e provati quelli di fegato dolce (ottimi). Buona la cottura, perfetto il sale (che si può sempre aggiungere dopo).
Da assaggiare “pizza e foje e le pallotte cacio e oh”
Più che buono ed ampio l’assortimento di vini regionali e non.","Punteggio 4,0 su 5","",""
A due passi dal mare,g1015370-d1655004,7 marzo 2023,couples,"Un esperienza gastronomica spettacolare, staff impeccabile e sempre cordiali con i clienti. Il locale è ben curato in ogni minimo dettaglio.","Punteggio 5,0 su 5","",""
A mai più rivederci,g1007324-d10378080,20 aprile 2024,family,"Per una pausa a pranzo.... La vetrina dei piatti pronti sguarnita, scegliamo due involtini di pesce spada e due calamari ripieni, 1 frittura di calamari che è dichiarata congelata ma molto buona.. Mi fido. Attesa quasi mezz'ora nonostante nel locale ci siano solo 4 persone che tra l altro hanno scelto i primi.... La frittura arriva poco più che tiepida e risulta gommosa . Conto da €32 comprensivo di 1 acqua da mezzo litro. Non so che conto abbiamo fatto ma di sicuro nn ci rivedranno. Peccato aver preso uno dei pochi posti in Sicilia dove non si mangia bene.","Punteggio 1,0 su 5","",""
A mai più!!!,g1006068-d15317771,20 agosto 2023,couples,"Esperienza da dimenticare!!!
Locale enorme con una caciara pazzesca, camerieri confusi e distratti, molti non comprendevano bene l'italiano, portate completamente diverse da ciò che è in foto su i pad x ordinare, portate ricevute errate, lentezza estrema, sushi di qualità scadentissima come qualunque altra portata!!!! Quantità ridicole! Tra le altre cose appena passibili per fame, abbiamo ordinato dei noodles assolutamente immangiabili perché salatissimi da vomito!!! Abbiamo più volte chiesto di due portate non ancora arrivate dopo più di un'ora di attesa, ma non sono mai arrivate!
Ci siamo alzati perché abbastanza disgustati, e senza aver mangiato 3 delle portate ordinate ( noodles con 1 kg di sale, e le altre 2 mai arrivate), in cassa altra lunga attesa per pagare, abbiamo lamentato l'accaduto ma non è stato praticato alcuno sconto!!!
Alla fine nel pomeriggio discreto mal di pancia!
Postaccio!!!!! A mai più!!!","Punteggio 1,0 su 5","",""
A volte il caso,g1009281-d1734657,5 maggio 2024,couples,"Ristorante trovato per caso, prodotti tipici della zona, ottimo vino e personale che sa farti sentire a casa. Da tornare sicuramente","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2c/10/e9/c6/caption.jpg,""
"Abbiamo mangiato alla Locanda ieri sera,questa volta il maitre ci ha consigliato un menù di pesce,FANTASTICO!",g1009280-d2299365,13 ottobre 2023,couples,"Ieri sera abbiamo provato il menù di pesce,FANTASTICO,gli antipasti a base di crudo erano un paradiso per il palato!Ottimo il secondo è la millefoglie è da provare assolutamente!","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2a/94/c4/cf/caption.jpg,https://media-cdn.tripadvisor.com/media/photo-l/2a/94/c4/d0/caption.jpg
Accogliente,g1006068-d7820406,5 ottobre 2022,none,"Sono stata a pranzo con un'amica: accoglienza fantastica, locale ben arredato con una bellissima vetrata. Abbiamo ordinato la vellutata di zucca con cipolle tostate e polenta con ragù di seitan, torta di mela con cannella e caffè. Divino il sapore delle pietanza, complimenti allo chef Luca.
Consigliatissimo!","Punteggio 5,0 su 5","",""
Accogliente,g1006191-d7806511,26 gennaio 2022,family,"Siamo stati a pranzo in questo ristorantino con la mia famiglia, locale carino, accogliente, il proprietario molto gentile e premuroso. Abbiamo mangiato antipasto rustico, piatto delizioso, particolare  e abbondante, e due primi entrambi buonissimi e abbondanti. Ovviamente lo consiglio .Prezzi nella norma, non esagerati.","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/21/f5/2b/28/caption.jpg,https://media-cdn.tripadvisor.com/media/photo-l/21/f5/2b/27/caption.jpg
Accogliente,g1009280-d2299365,31 agosto 2023,couples,Ci sono stato per la prima volta ed è stata una piacevole sorpresa. Quello che ha fatto la differenza è stata l'accoglienza e il trattamento riservatoci da tutto il personale che ci ha fatto sentire davvero a casa. Grande varietà di vini e liquori della casa. Consigliatissimo..,"Punteggio 5,0 su 5","",""
Acquasale la mia pizzeria preferita,g1015351-d13976411,12 maggio 2024,couples,"Sono un cliente abituale, adoro questa pizzeria che offre la possibilità di cenare all'aperto in un fresco giardino, praticamente sul mare. Le pizze sono le mie preferite. Acquasale una garanzia!","Punteggio 5,0 su 5","",""
Affacciato sul porto,g1007324-d12820512,7 novembre 2023,couples,"Locale carino affacciato sul porto, non molto grande. Accoglienza e servizio ottimo. Materie prime di qualità. Da ritornare","Punteggio 4,0 su 5","",""
Al vecchio mulino s.croce camarina,g1005933-d8329176,18 agosto 2022,family,"Ci sono ritornato con mia moglie e mio figlio, dopo averci cenato più  volte negli anni passati. Questa volta ci siamo trovati male sia per la quantità  ridotta del pesce crudo che per la pasta fuori menù con i ricci di mare pagata €.25,00 senza gusto e poco salata,conservo ancora lo scontrino.... Parafrasando nemmeno  lo chef Carlo Cracco ha questi prezzi. L'unica nota positiva la gentilezza e disponibilita' dei camerieri. Quindi ve lo sconsiglio.","Punteggio 2,0 su 5","",""
Alla ricerca di un ristorante gluten free,g1009281-d2242617,14 febbraio 2023,none,"Abbiamo trovato questo ristorante sulla guida AIC e la scelta è stata davvero ottima.
Eravamo il mio compagno ed io ed abbiamo mangiato davvero molto bene.
Personale gentile ed accogliente e tanta scelta e qualità anche per gli intolleranti al glutine.
Secondo me il prezzo è stato un po' caro, ma a volte si può fare...","Punteggio 4,0 su 5","",""
All'insegna del buon cibo e della quiete.,g1015351-d13376227,9 gennaio 2024,friends,"Come dice il nome, vi ritroverete in una vera oasi di serenità. L'ambiente naturale circostante, l'arredamento e l'atmosfera familiare che si respira, vi faranno trascorrere una giornata rilassante, lontana dalla quotidianità e soddisfando appieno il vostro palato. 
Sarete accompagnati da Antonello e il suo staff, sempre attenti e disponibili, nel mettervi a proprio agio, nell'esaudire le vostre richieste e nell'esporvi gli squisiti piatti composti da materie prime di qualità a km zero. 
Tutto curato in ogni dettaglio.","Punteggio 5,0 su 5","",""
Allora piatti tipici e funzione tempo ?,g1007324-d12820512,14 gennaio 2024,family,Peccato  poca cura per il cliente e tempi quasi geologici da non riprovare per che la location si trova avanti al mercato del pesce potevano far molto meglio,"Punteggio 1,0 su 5","",""
Allucinante,g1007324-d2697772,27 ottobre 2023,family,"Cibo scadente, annaffiato tutto con ľaceto perfino il sotè di cozze.
Vino allungato con ľacqua.
Esperienza negativa,non lo consiglierei a nessuno, neanche al mio peggior nemico","Punteggio 1,0 su 5","",""
Alta qualità e bassi costi,g1007733-d2156620,15 agosto 2023,couples,"Pesce fresco, abbondanza dei piatti e prezzi contenuti. Ostriche freschissime e saporite, così come il resto dei crudi. Grigliata mista da dividere in 2 per la quantità di pesce servito. Pienamente consigliato!","Punteggio 5,0 su 5","",""
Alte aspettative per niente soddisfatte,g1007324-d10378080,14 aprile 2024,family,"Affidandoci alle alte recensioni decidiamo di provare questo locale, tuttavia la nostra esperienza non è stata delle migliori: il pesce era quasi esclusivamente congelato, presente nei piatti in bassa quantità rispetto agli altri condimenti. Eravamo in 8, ognuno ha ordinato piatti differenti eppure in ognuno c'era qualcosa che non andava: pasta scotta, troppo poco sale, troppo sale, ecc.
Nel complesso descriverei questa esperienza scadente.","Punteggio 1,0 su 5","",""
Alto potenziale,g1010166-d4594143,1 agosto 2023,couples,"Ristorante con una location speciale, direttamente sul mare, che da sola merita la visita.
Cucina raffinata con abbinamenti originali anche se con un offerta poco legata al territorio.
La cameriera che ci ha servito è stata molto cortese e professionale.
Abbiamo preso 2 antipasti, capesante (poche) in crema di ceci, tonno tonnato (ottimo), tagliolini riccio e bottarga e risotto con tartare di gamberi (vista la quantità meglio dire gambero al singolare).
Piatti curati anche nella presentazione.
Ottimo il dessert al caffè.
Cucina, posizione e servizio meriterebbero una valutazione più generosa che viene inficiata da un prezzo, elevato, che non permette di sorvolare su alcuni aspetti da migliorare.
- tovaglietta di plastica tristissima, abbinata a menù plastificato e porta conto, assolutamente inadeguati.
- alcuni piatti, forse per la distanza dalla cucina, sono arrivati un tiepidi (in particolare le capesante ed i tagliolini)
- per 20 euro 3 capesante in una ciotola di crema di ceci sono poche e sempre per 20 euro la tartare di gamberi nel risotto non deve essere solo decorativa.
Nel complesso abbiamo mangiato bene in una bella location, ma 105€ ci sono sembrati troppi per 2 antipasti, 2 primi, 2 dolci e 2 calici di prosecco a Bonassola, soprattutto per la parsimonia nell’uso del pesce.","Punteggio 3,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/29/ec/d2/54/caption.jpg,""
Amara sorpresa,g1006192-d4132396,13 agosto 2019,friends,"Dopo aver girato la Sicilia in lungo ed in largo, mangiato ovunque e quasi sempre egregiamente......amara sorpresa.
Premetto di aver mangiato presso questo ristorante insieme ad altre 8 persone, invitato da amici. Tralasciando il fatto che il tutto si è svolto in maniera molto informale (il che a volte può fare anche piacere) abbiamo mangiato numerose portate si...ma sempre e soltanto le solite cose ripetute. Stiamo parlando di cicale di mare (quantità industriali), cozze, frittura di paranza, triglie, sarde, una portata di gnocchetti, due bottiglie di vino (sempre divise per 10 persone)

70 euro a persona.

Neanche nei migliori ristoranti lungo mare.

Nonostante la cordialità, la cortesia e i mille sorrisoni....
Non ci tornerò mai più.","Punteggio 1,0 su 5","",""
Amarcord,g1009281-d1898914,18 giugno 2023,friends,"Sono stato in questo ristorante storico dove anni fa avevo mangiato decisamente bene. Questa esperienza purtroppo non mi ha lasciato soddisfatto, eravamo in 8 e abbiamo avuto modo di assaggiare differenti piatti. Il risultato è rimasto tale e quale a tanti anni fa e avrebbe bisogno di un restailing ma scrivo per giudicare la cucina. La carta dei vini a parte i Toscani è molto ristretta ad esempio unica bollicina Ca' del Bosco. Per quanto tempo riguarda il menù abbiamo assaggiato la tartare di chianina che ci è piaciuta nella versione classica ma non in quella rivisitata come cheesecake, anche i tacos che abbiamo assaggiato non sono proprio un piatto della tradizione toscana. 
Anche nei secondi a parte la tagliata, abbiamo provato la Picania che era un po' 
dura e il galletto che era buono ma solo ossa, buone le verdure fra cui Cirino e patate ma i fiori di zucca annegavano nell'olio. Infine quello che fa ricordare un buon pasto è il dolce e il tiramisù e la creme brulé sono stati proprio una delusione, in parte il tiramisù sembrava malta il peggiore di sempre! Per fare cucina innovativa bisogna conoscere le tecniche e non improvvisarsi! Provare per credere!!!","Punteggio 3,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/29/83/5f/7d/caption.jpg,https://media-cdn.tripadvisor.com/media/photo-l/29/83/5f/7c/caption.jpg
"amaro in bocca, ma non per l'ammazzacaffè😒",g1006192-d3337386,23 agosto 2023,family,"Prima di scrivere questa recensione ho aspettato qualche giorno per effettuare una disamina ben precisa della cena offerta. Il posto si presenta elegante, ma come il proverbio  suol dire: l'abito non fa il monaco, tanto è vero che la serata ahimé è stata molto deludente. Al momento dell'ordinazione ci viene proposta una doppia formula che propone il ristorante, al momento della nostra visita una degustazione da 35€ a persona, ed un'altra più completa a 45€. Fin qui niente di particolarmente eclatante, ringraziamo della proposta ma, viste le nostre preferenze optiamo per quattro differenti primi. Il cameriere dice subito che quattro primi non si può fare, al ché per semplificare le cose decidiamo di prenderne due in un modo e due in un altro, e di prendere successivamente la frittura. Il cameriere interviene di nuovo dicendo che la frittura del giorno comprende solo un pesce perché il ristorante si basa sul pescato del giorno. Arrivati a questo punto non essendo un amante del pesce marinato compreso nella degustazione, opto per un primo alle vongole veraci mentre i miei familiari, oramai costretti, prendono la degustazione da 35€. La mia critica, per la quale dò 3 stelle, non è tanto per la qualità del pesce, ad avviso dei miei familiari d'ottima qualità, il mio piatto di spaghetti alle vongole invecce era intriso d'olio.  La critica principale che rivolgo al ristorante è il  quasi, per non dire l'assoluta, volontà di offrire per forza ai clienti le due degustazioni, una scelta assolutamente legittima da parte del ristorante,  a patto che venga espressamente scritto nel menu, sia su quello cartaceo che quello online, perché se sul menu vedo delle proposte presumo che possa scegliere quel che voglio, al massimo possono mancare uno o due elementi, no il 70% del menu. La scelta delle degustazioni deve essere un'opzione e non un'imposizione.","Punteggio 3,0 su 5","",""
Amazing,g1005935-d10216089,17 agosto 2019,family,"Scelta quasi casuale, consegna a domicilio puntuale e pizza ben calda....il sapore fantastico, era tempo che non mangiavo una pizza cosi buona.","Punteggio 5,0 su 5","",""
ambiente familiare,g1006191-d2251328,20 giugno 2023,family,"situato al secondo piano di un Antico stabile con  possibilita di poterlo raggiungere anche a portatori di handicap ...persone molto educate al tavolo. Abbiamo degustato un menu gourmet carne antipasto e pasta casereccia  ed uno di pesce zuppa di cozze e spaghettino vongole ...
ambiente silenzioso adatto a trascorrere un pranzo di famiglia.     “La semplicità e la verità sono le sole cose che contano veramente...CONSIGLIO ai miei 175 mila lettori questo posticino","Punteggio 4,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/29/85/fa/c1/caption.jpg,https://media-cdn.tripadvisor.com/media/photo-l/29/85/fa/c2/caption.jpg
Ambiente familiare e confortevole.,g1007324-d2264584,15 gennaio 2023,couples,"Con un pò di titubanza mi sono deciso a cambiare locale,  rispetto ad i soliti già collaudati e mi sono recato in questo ristorante. 
Mi sono trovato molto bene e ne sono uscito soddisfatto,  sia nella qualità che nella quantità. 
Abbiamo preso la loro carrellata di antipasti misti di pesce (non sono tanti, come nei locali a menù fisso): erano divisi in freddi e caldi ed il pesce era fresco. Poi abbiamo preso un primo piatto di linguine allo scoglio,  con vongole, gamberetti e cozze: oltre ad essere abbondante e ben condito, aveva un sughetto delizioso che non rendeva la pasta né asciutta né incollata. Mi è piaciuto davvero tanto questo primo piatto, mi ha riempito e messo di buon umore. Ho chiuso con un sorbetto, anch'esso molto buono e abbondante: non industriale,  ma fatto da loro. Se devo indicare qualcosa da migliorare, il vino bianco della casa, ma sono consapevole che avrei dovuto abbinare una bottiglia di altra cantina se volevo andare sul sicuro.
Prezzo nella media, considerando gli aumenti degli ultimi mesi: 40 euro a persona,  ma il pesce fresco, la qualità del cucinato e la cura per il cliente (20 coperti in tutto la veranda) mi hanno lasciato una sensazione positiva e sicuramente ci ritornerò.","Punteggio 4,0 su 5","",""
Ambiente&accoglienza i punti forti del ristoro!,g1015997-d12518866,4 luglio 2023,family,"All'agriturismo avviato da ENzo e LIna (ENLI) nel 2017 si è aggiunto il ristorante curato dal figlio in cucina e dalla nuora in saletta, veranda e giardino. L'ambiente è gradevole indubbiamente, e una menzione particolare merita il servizio, dinamico e sempre con il sorriso: con il nipotino piccolino ci sarebbe toccato per ordine di prenotazione il giardino esposto in una serata ventosa, invece hanno attrezzato la saletta solo per noi e questo ci è molto piaciuto, per cui aggiungo un bonus al servizio. Buone tutte le fritture, di alici, di calamari  e di baccalà, e alcune verdure vengono dall'orto di proprietà. Qualche piatto è peraltro sovra-prezzato, dal polpo su crema di lenticchie (18€, però molto buono) ai pici con gambero rosso e burrata (sempre 18€ e il piatto avrebbe richiesto come presentazione una traccia visibile di burrata), così come il delicato risotto calamaro&limone avrebbe meritato una presenza maggiore di calamaro (15€). Un po' troppo dolce il tortino al cioccolato, e il bianco della casa è un discreto vermentino di zona.","Punteggio 4,0 su 5","",""
ANCHE NO,g1015371-d2294082,23 novembre 2019,none,"Se desiderate un'ottima cena di pesce scansatelo come la peste... la carbonara di mare era un' orrenda sciacquatura di uovo con 6 (6!) cozze e 1 vongola, la zuppetta di cozze e vongole era salata da non dirsi con 2 crostini carbonizzati, infine l'antipasto di frutti di mare e verdure era gommosissimo e le verdure erano pezzetti di patate impregnate di acqua e carota grattugiata...il proprietario dice che può succedere...siamo scappate...","Punteggio 1,0 su 5","",""
Ancora mi sento nauseato,g1007324-d6623424,29 aprile 2023,couples,"Siamo stati in questo posto leggendo le recensioni, un incubo! Arrivati ci siamo seduti ed il cameriere pensava di essere simpatico invece si è dimostrato abbastanza invadente cmq abbiamo ordinato una pizza e un piatto linguine allo scoglio, le linguine salate, pezzi di gusci rotti tra una linguine ed un'altra, la mia ragazza che adora il pesce non aveva mai in vita sua avuto una faccia così triste, ancora sta bevendo acqua dopo tre ore e non sappiamo come andrà a finire... La mia pizza, premesso che ho chiesto mozzarella senza lattosio che hanno solo sotto prenotazione, era un biscotto poco lievitato secco bruciacchiato e duro, siamo usciti e per tutta la sera mi sono sentito nauseato, ingredienti di pessima qualità, la pizza non si poteva tagliare il sugo era molto acido, gli spinaci sembravano saltati al burro... La pulizia lasciava desiderare sporco veramente sporco, l'angolo dove tagliavano il pane in bella vista era sporco, il lavello dove lavavano credo le caraffe sporchissimo, tutto incrostato, le finestre piene di polvere le caraffe con il tartaro se ci penso mi viene ancora da vomitare... Mai più...bilocale da chiudere","Punteggio 1,0 su 5","",""
Anni 80,g1007324-d2697772,3 novembre 2023,couples,"Locale in stile anni 80 situato nella piazza principale. Il personale si adatta bene al locale, simpatico e preparato. Porzioni abbondanti, sicuramente non fa della presentazione dei piatti il suo punto di forza, ma il gusto c’è tutto.","Punteggio 3,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2a/bd/50/7b/caption.jpg,""
Aperi cena,g1015453-d10262840,17 novembre 2017,friends,Ottimo LOCALE con altrettanto servizio eccellente molto attento ai clienti. Un apericena delicato e sfizioso. LOCALE nel centro storico molto accogliente. Ingredienti freschi e ben combinati.,"Punteggio 4,0 su 5","",""
