Titolo,id_ristorante,Data,Target,Recensioni,Punteggio,Foto1,Foto2
An unexpected Jem,g1006046-d4090798,"",couples,"We were recommended this restaurant as our hotel dining was closed, it’s superb, excellent food, attention to detail, great service, can’t recommend highly enough, only wished we were staying there as well","Punteggio 5,0 su 5","",""
Arroces espectaculares en el delta de l'ebre,g1009760-d5614563,"",family,"Uno de los mejores arroces que he comido en mi vida. El ambiente amable, familiar y cordial suma puntos a un sitio muy recomendable para comer producto de delta de l'ebre.","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2a/4e/32/7f/caption.jpg,https://media-cdn.tripadvisor.com/media/photo-l/2a/4e/32/7e/caption.jpg
Arròs,g1007873-d2366834,23 agosto 2016,family,"Buona qualità!
Abbiamo mangiato un riso gustosi piatti di pesce.
Il personale è molto cordiale.
Il servizio è stato rapido e correcte.","Punteggio 4,0 su 5","",""
Arrosseria expirience,g1007873-d2235372,"",couples,Maravilloso todo el mundo. La comida aún mejor. Las dos señoras de la cocina maravillosas y el jefe de cocina también. Lupe era la imagen y fue todo fantástico.,"Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2b/a0/86/bf/caption.jpg,""
Arroz con cangrejo azul muy rico,g1007873-d4312941,"",none,"Repetimos un par de años, el arroz con cangrejo azul muy rico, los mejillones estaban bien (un poco pasados pero bien), no recomiendo los boquerones fritos. Si volvemos por la zona nuevamente repetiriamos seguro pero sobre todo por el arroz, que esta buenisimo.","Punteggio 4,0 su 5","",""
Arroz exquisito,g1009760-d5614563,"",family,"Muy buena opcion para tomar arroz en el Delta,nosotros siempre repetimos.
Unos entrantes bien hechos,especialmente el chapadillo de anguila,muy fritito y sabroso,y unos calamares a la romana con un rebozado perfecto -aunque cantidad un poco escasa-.Pero el plato fuerte es el arroz,probamos la paella y el de pulpo,y estaban sublimes,especialmente el de pulpo,donde no escatiman en poner unos buenos trozos y con un sofrito muy gustoso.No sobró nada!Fueron 136euros 4 raciones de arroz,2 entrantes,botella vino blanco y agua.","Punteggio 4,0 su 5","",""
Arroz muy bueno,g1007873-d2235372,"",family,"La comida muy buena, no es barato pero lo k comes lo vale, el arroz muy rico.La unica pega es k el servicio fue correcto pero personalmente creo k poco simpáticas las camareras, tampoco me gusta k esten toda la comida encima tuya, pero el servicio un poco flojo, correcto, porque no hicieron nada mal pero poco serviciales","Punteggio 4,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/26/ab/fb/d9/caption.jpg,""
Aspettativa soddisfatta solo a metà,g1009775-d2489355,5 agosto 2014,family,"In occasione di una mia vacanza con la mia famiglia in Spagna a Calafell , mi sono recato , dopo prenotazione, presso il ristorante Casinet di Sant Salvador. Il locale è molto caratteristico, c'è la possibilità di tavoli sulla spiaggia, all'aperto nel cortile, sul lungomare e nell'interno.Servono gustosi aperotivi come puntillas e calamares accompagnati da bicchierini di bibite molto particolari. Ottima veramente la paella ma anche il solomillo alla piastra è stato un successo. I dolci sono abbondanti e gustosi. La pecca del locale è stato il servizio: hanno dimenticato una ordinazione, ci hanno lasciati a lungo senza preoccuparsi di cosa volevamo, ci hanno fatto sentire ospiti accettati ma non desiderati. Valutazione buona con tanti ma.","Punteggio 3,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/06/51/ac/46/casinet.jpg,https://media-cdn.tripadvisor.com/media/photo-l/06/51/ac/bf/casinet.jpg
Assolutamente favoloso,g1006061-d6905011,9 giugno 2017,friends,Il cibo è eccellente! Servizio eccellente! Luogo molto grazioso e confortevole. Ottimo per i bambini (hanno dove giocare) . Altamente consigliato! < 3,"Punteggio 5,0 su 5","",""
Atmosfera del delta,g1009760-d3158055,6 gennaio 2020,none,"L’atmosfera la percepisci tutta lungo il percorso tra le risaie, i canali, i fenicotteri! Cibo assolutamente locale, ci siamo tornati a distanza di un anno perché siamo camperisti ed il posto ci piace molto. Qualcosa da migliorare nei dolci. Buono il riso, buono il pesce, personale simpatico. Arrivederci alla prossima!","Punteggio 4,0 su 5","",""
Bacanal,g1009772-d4905483,"",family,"Una vez descubres este restaurante te preguntas el porque siempre habías ido al Colomi, cuando esté le da mil patadas, este restaurante se merece una estrella michelin.","Punteggio 5,0 su 5","",""
Beautiful Catalan Hospitality,g1006046-d4090798,"",couples,"We enjoyed two beautiful days & nights at La Placa in Madremanya.  We received a very warm welcome to the hotel which was to commence a wonderful, relaxing stay. The hotel is lovely, very authentic old Catalan buildings, full of ambiance & history.  The garden & pool area is also beautiful & we loved the quiet pool lounge area.  The restaurant is superb, beautiful Catalan cuisine, fine quality ingredients, generous serves & excellent wine list.  We enjoyed two lunches & dinners in house & they were all exceptional.  The weather was warm & we sat outside, enjoying the summer afternoons & evenings & the lovely view.  W loved our stay & hope to return in the future.","Punteggio 5,0 su 5","",""
"Bel posto, buon servizio e il cibo a-OK-di-tipo",g1007873-d3371452,16 agosto 2015,family,"E' davvero un buon servizio, con camerieri assistere tutto il tempo per il vostro comfort. Il personale è molto cordiale, scherzando e di avere un buon momento. Il posto è anche molto bella, un sacco di spazio per sedersi fuori in un luogo ombreggiato, circondato da un'campi di riso. C'è un bel parco giochi per bambini e un piccolo agriturismo con cavalli. Il cibo era così così. Sembrava imponente, ma il gusto era troppo pesante, ma mancava la finezza, olive troppo, sembrava troppo cotta per me. I dessert erano nella media. Il conto era più alto di quanto mi aspettassi - le bevande analcoliche e i dessert raddoppiato il prezzo!","Punteggio 3,0 su 5","",""
Bella Serata,g1006061-d6905011,22 agosto 2016,couples,"Soggiornate nelle vicinanze in Rotgetes de Canet, abbiamo subito capito che questo era l'unico ristorante a breve distanza a piedi, per fortuna che è uno dei migliori ristoranti che abbiamo mai mangiato. Il servizio era eccellente. Estaban, il maitre"", era deliziosamente affascinante, cordiale, disponibile e giustamente orgogliosi del ristorante, mentre il cibo era meravigliosamente presentato e piena di sapore. L'antipasto di gamberetti croccanti era uno dei preferiti. Abbiamo mangiato qui due volte in 5 notti ed entrambe erano davvero memorabile, in particolare la nostra ultima notte, dove dalla chiusura, ci sono state riunite da entrambi Estaban e lo Chef, Jose, per un piccolo drink di mostrare il nostro apprezzamento.
Il ristorante è stato sicuramente uno dei momenti salienti del nostro soggiorno a Maiorca e non esiteremmo a tornare qui o a consigliarlo a chiunque. Se soggiornate nelle Esporles area, o anche più lontano è semplicemente deve pagare una visita al Ristorante Quay piacevole ed affascinante.","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/0c/a2/d6/85/crispy-prawn-starter.jpg,""
Belle découverte,g1007885-d5864448,"",family,"Hamburgers originaux, servis sans frites, qui ne sont, vu la taille des burgers, pas nécessaire !!! !énormément de choix,accueil chaleureux, bonne adresse à retenir à vila seca","Punteggio 4,0 su 5","",""
Bellissima esperienza!,g1006045-d3635439,18 novembre 2018,couples,"Mangiare alla casa del caminero è molto più che mangiare, è una vera esperienza, il cibo è buono, fresco e autentico Canario, ma il must è la ambiente e soprattutto il gestore!
Un vero artista in tutti i sensi, durante il giorno dipinge e alla sera oltre a servire intrattiene gli ospiti facendoli sentire come a una cena tra amici....
Lo consiglio tantissimo
.....vi conviene prenotare, la cena inizia tassativamente alle 19","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/15/6f/4b/f3/img-20181118-163654-largejpg.jpg,https://media-cdn.tripadvisor.com/media/photo-l/15/6f/4b/f2/img-20181118-191915-largejpg.jpg
"Bellissimo Locale,Ottimo menù",g1007885-d3396815,2 aprile 2017,business,"Sono stato qui perchè in trasferta per lavoro, c'ho mangiato per due cene consecutive. Menù veramente ampio, tanta scelta tra pizze,tapas,pesce,carne e insalatone. Tutto veramente buono. Tanta cortesia e simpatia","Punteggio 5,0 su 5","",""
Best in zona,g1009775-d2489355,20 agosto 2016,friends,"Incredibile di servizio. Specialista in L istino e tapas. Qualsiasi se L istino del sono buoni. Prezzo medio per circa 1,30 35 €.  Ottimo posto di fronte al mare","Punteggio 5,0 su 5","",""
Best paella in Costa Dorada😁,g1009775-d2489355,28 agosto 2018,family,Locale caratteristico. Per me la migliore paella della zona. Da provare quella con il nero di seppia veramente molto buona. No aria condizionata😬. Ci ritornerei.,"Punteggio 4,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/14/5b/fa/e5/photo2jpg.jpg,https://media-cdn.tripadvisor.com/media/photo-l/14/5b/fa/e4/photo1jpg.jpg
Better service please,g1009775-d4557879,"",family,"We were really excited to go here based on reviews.  Sadly, I'm not sure I read the reviews critically enough as we are Americans and were not treated so well, initially.  Menus were tossed down on table. We were given Spanish menus and had to use Google translate.  Then, another very nice waiter came over and felt bad when he realized we weren't given the English menus!! The food was fine, we had paella and some other tapas. The service was just not what we had grown accustomed to on the other days of our trip. Too bad because it's a cute place, right on beach, at Pau Casals Museum.","Punteggio 2,0 su 5","",""
Bien de calidad y sabor pero raciones minúsculas,g1009760-d5614563,"",friends,"Calidad muy bien pero muy poca cantidad en todos los platos.

Para 6 personas hemos pedido 3 entrantes y 2 arroces y los platos eran ridículos.  

Estaba todo muy bueno pero daba vergüenza ver 1 plato de anguila con 10 trocitos minúsculos o 1 plato de arroz que ni para un niño pequeño. No les costaría nada echar un poco más de arroz y quedarían mucho mejor.

El precio, para la poca cantidad de la comida, lo hemos encontrado elevado. Básicamente porque nos hemos quedado con hambre.","Punteggio 3,0 su 5","",""
BRUTAL,g1007873-d2235372,"",couples,"Lugar con comida fantástica , calidad  y cantidad y sobre todo un trato fenomenal . De aquellos sitios que tienes ganas de volver a repetir para probar lo mismo u otras cosas .","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2c/13/66/2e/caption.jpg,""
Buen lugar para comer,g1007873-d4312941,"",friends,"Restaurante del camping Eucaliptus, muy buena opción para comer, incluso sin estar hospedado allí. Es importante reservar con antelación, suele estar lleno. Buenos arroces, la tapa de almejas a la plancha muy buena y buenos postres caseros, a destacar lo menjar blanc, típico de la zona.","Punteggio 5,0 su 5","",""
Buen sitio para cenar con amigos,g1007885-d20206189,"",friends,"Buena atención y estancia, pedimos la hamburguesa cheesy y el sandwich de pulled pork, muy recomendable sobretodo el sandwich.","Punteggio 4,0 su 5","",""
Buena comida y muy amables,g1007873-d4312941,"",family,"Hemos comido en la terraza,  muy bien acondicionada y muy cerca de la playa,  la comida espectacular,  el arroz los mejillones las gambas o mejor dicho gambones. Son muy amables.
Comimos un menú de 19 euros,  con la riquísima paella  marinera. Al ir con una peque para los 3 pedimos 2 menús y nos lo permitieron muy amablemente. Recomendable reservar.","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/25/56/ec/a4/caption.jpg,""
Buena opción,g1009772-d4905483,"",family,"Menú de fin de semana muy variado, precio muy bueno. Los camareros muy atentos y amables. Postres muy buenos. Lo recomiendo","Punteggio 4,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/23/59/32/a4/caption.jpg,https://media-cdn.tripadvisor.com/media/photo-l/23/59/32/a3/caption.jpg
Buena relación calidad precio.,g1009760-d5971828,"",family,Servicio muy joven y con algunos fallitos perdonables. Relación calidad precio muy correcta. El local es muy ruidoso.,"Punteggio 4,0 su 5","",""
Buenas hamburguesas,g1007885-d20206189,"",friends,"La Comida estaba buena (sobretodo las hamburguesas, el precio razonable y muy buena atención por parte de los camareros.

 único contra la cantidad de comida, que si tienes mucha hambre no es excesivo","Punteggio 4,0 su 5","",""
Buenos caracoles,g1009772-d4905483,"",friends,"Buen restaurante con un menú muy stractivo por la diversidad de platos y el precio de 19€.
A resaltar los caracoles (con suplemento, las espinacas, los pies de cerdo y el meloso de lomo. Quizás a mejorar el bacalao y la conservación del vino de Rioja.
La atención fue muy profesional. Buen lugar para repetir","Punteggio 4,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2a/53/f7/39/caption.jpg,https://media-cdn.tripadvisor.com/media/photo-l/2a/53/f7/38/caption.jpg
"Buon cibo, servizio pessimo",g1007885-d3177792,19 giugno 2017,friends,"Il cibo era fantastico, ma il personale scortese. Il personale era raccontare una partita bout il posto, anche se il cibo era bello non ritornerei perché il personale. Un vetro rotto sul pavimento e abbiamo dovuto chiedere loro di pulito non erano indaffaratissime oltre.","Punteggio 3,0 su 5","",""
Buon pasto. Cameriere di piacevole,g1006061-d6905011,12 settembre 2016,couples,Insolito impostare. probabilmente adatto a bambini e famiglie. Aveva un buon pasto. Cameriere/maitre era molto piacevole e ha reso piacevole serata soprattutto con il limoncello gratuito.,"Punteggio 3,0 su 5","",""
Buon pranzo!,g1006045-d10607071,6 agosto 2018,couples,"Di passaggio, dopo la visita al Roque Nublo, ci siamo fermati nel piccolo e pittoresco paesino di Tejeda.
Abbiamo pranzato in questo ristorante all'interno e non in terrazza, prendendo il menù del dia: zuppa di verdure, un pesce impanato ed una costina di maiale, pane, contorni e tre bicchieri di vino (28 euro).
Posto accogliente, pulito, moderno.
Servizio veloce e personale gentile.","Punteggio 4,0 su 5","",""
Buona la vista sul panorama,g1006045-d2444540,18 gennaio 2017,none,"Oltre alla vista magnifica che si può godere dai tavoli esterni e il servizio , la cucina è da dimenticare pimiento del padron sembra scaldato al microonde .
Il peggio lo hanno raggiunto con il coniglio proposto dal cameriere , fritto nell'olio più vecchio mai assaggiato e anche crudo all'interno come si vede dalla foto locale da evitare .
Forse le stelle che ha ricevuto sono merito di un cuoco che senza dubbio non lavora più qui","Punteggio 1,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/0e/30/a1/a9/photo0jpg.jpg,""
Buona ma...,g1006045-d10607071,12 novembre 2019,family,Cibo ottimo e abbondante locale piccolo ed accogliente soprattutto la vista mozzafiato è ineguagliabile l’unica cosa è il servizzio un po’ freddo ma per il resto tutto ok,"Punteggio 3,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/1a/01/ed/d1/photo6jpg.jpg,https://media-cdn.tripadvisor.com/media/photo-l/1a/01/ed/d0/photo5jpg.jpg
"Buona qualità, buon servizio",g1007873-d3371452,25 settembre 2016,couples,"Ambiente bello, le porzioni abbondanti e ottimo servizio. Prezzo è giusto per la qualità si ottiene, e si ottiene buona qualità.","Punteggio 4,0 su 5","",""
"Buone le portate, posizione ottima.",g1006045-d2444540,22 settembre 2022,couples,"Sono stata con mio marito, il locale di per sé è un po' classico e non sembra come molti altri ""tipico canario"". Ha posti esterni ed interni, la ragazza è stata molto gentile e anche simpatica.  Sia gli spaghetti al ragù che le costine con le patate, oltre al dolce la torta di mandorle e la torta al cioccolato eta tutto buono. Il caffè, nonostante qui a GC è difficile trovare un locale che lo faccia buono be' qui è bevibile! Rapporto qualità/prezzo buona. Lo consiglio","Punteggio 4,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/26/0d/73/ce/caption.jpg,""
Buone pizze,g1007885-d3177792,8 luglio 2017,family,"Siamo capitati in questo caso davvero. L'arredamento non è dei più interessanti ma essendo stufi di cibo di hotel ci siamo avventurati fuori e mi è piaciuto molto il menu.

Avevamo pane all'aglio per iniziare. La mia unica lamentela potrebbe essere l'ordinazione solo 1 porzione tra di noi era deliziosa. 4 Pezzi di buone dimensioni.

Mio figlio ha ordinato un margheurita e sono andato con prosciutto e funghi pizza fatta in quella che sembrava forni a legna in cucina. Erano ben cucinati con giusta quantità di condimenti, sottile con un bordo croccante incantevole. Più mangiare nel loro che hanno un aspetto. Mio marito ha preso pasta con cipolla e prosciutto di pomodoro. Era dente al. Era abbastanza carino, ma io direi di andare per la pizza.

Il servizio è stato buono. Il personale è gentile ma non invadente. Mi sarebbe probabilmente tornare indietro o forse ordine take away che è anche disponibile","Punteggio 4,0 su 5","",""
Buono,g1006045-d2444540,14 novembre 2016,couples,"Siamo stati qua dopo aver visitato roque nublo quindi ci sta che eravamo affamati. Nonostante tutto i piatti erano veramente buoni. Zuppa di carote, pollo con salsa di cipolle, con patate fritte fatte in casa accompagnato con un timballo di riso. Veramente buono! Dolce acqua e caffè si avrà speso sui 27€ non di più .
Locale molto caratteristico di montagna ma nonostante tutto con wi-fi bello funzionante ( lo scrivo perché se fosse in Italia non ci sarebbero tutti questi servizi) 
Consiglio!","Punteggio 4,0 su 5","",""
Buono e ragionevole,g1007873-d2202784,15 maggio 2017,family,Si tratta di un bel ristorante sul lungomare vicino al fiume. Il menu è molto buono e il cibo ben cucinato e presentato.,"Punteggio 4,0 su 5","",""
Calamari eccezionale del bambino,g1007873-d3371452,27 novembre 2016,couples,"Abbiamo preso un drink e una porzione del baby calamari qui dopo un viaggio di pesca.

Il servizio era cordiale e veloce e il cibo era eccellente. Anche i prezzi sono molto ragionevoli.","Punteggio 5,0 su 5","",""
Calidad y trato inmejorable,g1009772-d3183853,"",friends,"Hacia mucho tiempo que no tenia la sensación de estar tan bien servido y tratado en un restaurante. Recomendable al 100 %. Preferible reservar con antelación , pues la calidad de sus platos hace que este siempre muy concurrido. Seguro que deseará repetir.","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/29/ac/42/16/caption.jpg,https://media-cdn.tripadvisor.com/media/photo-l/29/ac/41/ea/caption.jpg
CALIDAD/PRECIO INMEJORABLE,g1009772-d3183853,"",solo,El menu de 20€ es estelar. Muchos platos a elejir todos excelentes. Muy buena cocina y muy buen servicio. Calidad/precio inmejorable. Se nota que es un negocio familiar. Muy recomendable,"Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/29/4a/85/ba/caption.jpg,https://media-cdn.tripadvisor.com/media/photo-l/29/4a/85/bb/caption.jpg
caro per il servizio offerto.....,g1007873-d2202784,28 maggio 2013,couples,"situato a la Cava, sul fiume all'imbarcadero per il delta Ebre, personale che ti ciede cosa bevi sena neanche portare il menu, molto in fretta-poco spagnolo- la qualità della cucina è senza infamia e senza lode- a parte un ottimo espresso-le acciughe fritte erano di due giorni prima, conoscendo bene il pesce l affermo con sicurezza, la cucina, non certo colpa del cuoco, tende molto a risparmiare (olive verdi da discount) patate fritte già cotte e ripassate nella friggitrice.....","Punteggio 2,0 su 5","",""
Caro....y engañoso,g1009775-d6970093,"",none,"Y matizo en este punto....en la carta que te ofrecen hay un menú de 25 euros...pero tienes que sumar el 10% de I.V.A., creen que poniéndolo en la carta, es legal...y no es así. 
Ese negocio está incumpliendo la Ley 44/2006, de 29 de diciembre,NO ES LEGAL PONER EN LAS CARTAS EL PRECIO DEL PRODUCTO SIN EL IVA
A pesar de que se indique que los precios no llevan IVA.

Indican que hay un aperitivo donde incluye el pan por 175 Euros.....que no te preguntan si lo quieres, te lo ponen...no es culpa de ellos, aunque deberían preguntarlo antes....yo podía haberlo rechazado, y no lo hice....consistía en unos pequeños panecillos de pan...que por cierto uno de ellos resultó durísimo...tanto que fui incapaz de partir...unas longas finísimas de fuet, y unos picos de pan, y dos copas de cava.....teniendo en cuenta que éramos dos, un aperitivo de 3,50 más I.V.A. me pareció bastante escaso.
La carta de vinos...hay que añadirle también el 10%....y por supuesto el café vale 2,20 Euros, si añadimos el I.V.A. un café allí sale por 2.42 Euros...esto es a lo de engañoso que me refiero....si tengo que ir con una calculadora para saber el resultado final de la comida, mal vamos.
Un menú de 25 Euros, dos personas al que sólo se le incluye el agua...me salió por 81,60..efectivamente con vino y con el I.V.A.
La comida no estuvo a la altura del precio, la burrata la sirvieron completamente congelada. 
No voy a volver....o si lo hago me llevo el ábaco.","Punteggio 3,0 su 5","",""
"Carta tentadora, realidad…. sólo sobre el papel",g1007873-d4312941,"",friends,"Estuvimos 6 amigos, el menú de 29€.
Ensalada de bolsa, calamares y croquetas pasables, bacalao…. sólo sabía a sal, mejillones muy hechos, arroces y fidegüa con mucha cosa y muy poco sabor, también salado.
Cervezas con poco frío, al igual que la primera botella de blanco. Le pedimos que fuera metiendo otras al congelador y gano mucho.
Servicio….. de primeras nos atendió una chica, que supongo sudamericana que sinceramente no sé qué hace trabajando en hostelería, no se puede atender poniendo peor cara y peor talante. Si estás enfadada con la vida o con tu jefe, no nos lo debes hacer pagar a los clientes. También nos sirvió otra chica que sin ser para echar cohetes, al menos era atenta y servicial.
Lo siento sinceramente por que el sitio está muy bien, pero no sé si le daremos otra oportunidad.","Punteggio 3,0 su 5","",""
Casa de invitados de Pablo Casals,g1009775-d4557879,"",friends,"Situado en la antigua casa de invitados anexa a los jardines de la Villa Casal (actual museo), ofrece un menú muy completo a precio muy razonable.
Excelentes vistas de la playa, al estar en el paseo marítimo.","Punteggio 4,0 su 5","",""
Celebración cumpleaños.,g1009772-d10225684,"",none,"Fuímos a comer con la familia para celebrar mi cumpleaños, el menú de medio día tiene un precio muy competitivo con mucha calidad. Todos los platos estaban muy buenos, aunque para mi la decoración no me acaba de gustar ya que no hay una armonía en todo el local. Aunque esta opinión es muy personal y para gustos colores... La comida es lo importante y no nos defraudo.","Punteggio 4,0 su 5","",""
Celebración familiar de 10,g1009775-d6970093,"",family,"Hemos celebrado un 70 cumpleaños de mi padre y su mujer. Me recomendaron el restaurante, pero no imaginé que fuera de 10. Tanto el cocinero como los camareros Manuel y Sara magníficos! Reitero la felicitación al cocinero por los platos tan esquisitos! El espacio ha sido muy íntimo y privado! La dirección del restaurante en todo momento atentos! Repetiremos sin dudarlo para celebrar cualquier evento, y cualquier cena dado que la comida es de un 10.","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2a/b4/1c/e8/caption.jpg,""
Celebrar el Santo en familia,g1009772-d10225684,"",family,"Reunion familia para celebrar el Sant Pau y como siempre hemos comido muy bien y con una atención espectacular, gracias","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/1d/41/f3/6c/caption.jpg,https://media-cdn.tripadvisor.com/media/photo-l/1d/41/f3/6d/caption.jpg
Celebré mi 80 aniversario con la família,g1009775-d6970093,"",none,"Deseo expresar mi satisfacción por el trato recibido en general; propietarios, camareros, etc.
Eramos un grupo de 20 personas y todo el mundo salió muy satisfecho.","Punteggio 5,0 su 5","",""
Cena celebración,g1009760-d5971828,"",none,"Es un restaurante con un ambiente muy bueno y acogedor, la carta es variada y la calidad precio es muy buena, también tiene una carta de vinos muy buena y bien escalada en precios, lo recomiendo al 100%, el trato del personal y sobre todo de los propietarios es muy bueno.
También es de los pocos restaurantes pizzeria que puedes comer pizza sin gluten y queso sin lactosa.","Punteggio 5,0 su 5","",""
"Cena familiar (2 adultos y 2 niños) un viernes noche sin reserva. Han sido muy amables, pendientes en todo momento. 100%",g1007885-d20206189,"",family,"Ha sido una experiencia 100% recomendable. Servicio rápido y personal muy atento incluso con los niños.
Para repetir seguro.","Punteggio 5,0 su 5","",""
Cena genial a muy buen precio,g1009760-d5971828,"",friends,"Como siempre cena muy rica, con muchas opciones variadas y al mejor precio. Perfecto para ir con familia o amigos.","Punteggio 5,0 su 5","",""
